DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FR10,2018,40260504,u
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRB0,2018,5587645,u
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRC1,2018,4620046,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRC2,2018,1973364,u
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRD1,2018,4616629,u
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRD2,2018,2716679,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRE1,2018,4815080,u
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRE2,2018,2688586,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRF1,2018,5417359,u
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRF2,2018,2691354,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRF3,2018,3897950,u
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRG0,2018,7967215,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRH0,2018,7994326,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRI1,2018,10648163,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRI2,2018,1319940,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRI3,2018,5158084,u
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRJ1,2018,9408272,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRJ2,2018,6641688,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRK1,2018,3164225,u
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRK2,2018,17782175,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRL0,2018,17549871,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),23/03/23 23:00:00,A,TOTAL,NR,I551-I553,FRM0,2018,2968645,
